name,url,remote_testing,adaptive_irt,duration,test_type
Adobe Photoshop CC,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,False,False,1,Knowledge & Skills
Aeronautical Engineering (New),https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/,False,False,1,Knowledge & Skills
Aerospace Engineering (New),https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/,False,False,1,Knowledge & Skills
Agile Software Development,https://www.shl.com/products/product-catalog/view/agile-software-development/,False,False,7,Knowledge & Skills
Agile Testing (New),https://www.shl.com/products/product-catalog/view/agile-testing-new/,False,False,1,Knowledge & Skills
AI Skills,https://www.shl.com/products/product-catalog/view/ai-skills/,False,False,1,Personality & Behavior
Amazon Web Services (AWS) Development (New),https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/,False,False,1,Knowledge & Skills
Android Development (New),https://www.shl.com/products/product-catalog/view/android-development-new/,False,False,1,Knowledge & Skills
Angular 6 (New),https://www.shl.com/products/product-catalog/view/angular-6-new/,False,False,1,Knowledge & Skills
AngularJS (New),https://www.shl.com/products/product-catalog/view/angularjs-new/,False,False,1,Knowledge & Skills
Apache Hadoop (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-new/,False,False,1,Knowledge & Skills
Apache Hadoop Extensions (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new/,False,False,1,Knowledge & Skills
Apache HBase (New),https://www.shl.com/products/product-catalog/view/apache-hbase-new/,False,False,1,Knowledge & Skills
Apache Hive (New),https://www.shl.com/products/product-catalog/view/apache-hive-new/,False,False,1,Knowledge & Skills
Apache Kafka (New),https://www.shl.com/products/product-catalog/view/apache-kafka-new/,False,False,1,Knowledge & Skills
Apache Pig (New),https://www.shl.com/products/product-catalog/view/apache-pig-new/,False,False,1,Knowledge & Skills
Apache Spark (New),https://www.shl.com/products/product-catalog/view/apache-spark-new/,False,False,1,Knowledge & Skills
ASP .NET with C# (New),https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/,False,False,1,"Knowledge & Skills, Technical Skills"
ASP.NET 4.5,https://www.shl.com/products/product-catalog/view/asp-net-4-5/,False,False,1,"Knowledge & Skills, Technical Skills"
Assessment and Development Center Exercises,https://www.shl.com/products/product-catalog/view/assessment-and-development-center-exercises/,False,False,1,Assessment Exercises
Automata - Fix (New),https://www.shl.com/products/product-catalog/view/automata-fix-new/,False,False,1,Simulations
Automata - SQL (New),https://www.shl.com/products/product-catalog/view/automata-sql-new/,False,False,1,"Simulations, Knowledge & Skills, Technical Skills"
Automata (New),https://www.shl.com/products/product-catalog/view/automata-new/,False,False,1,Simulations
Written English v1,https://www.shl.com/products/product-catalog/view/written-english-v1/,False,False,1,Knowledge & Skills
Written Spanish,https://www.shl.com/products/product-catalog/view/written-spanish/,False,False,1,Knowledge & Skills
Zabbix (New),https://www.shl.com/products/product-catalog/view/zabbix-new/,False,False,1,Knowledge & Skills
360 Digital Report,https://www.shl.com/products/product-catalog/view/360-digital-report/,False,False,1,Development & 360
360° Multi-Rater Feedback System (MFS),https://www.shl.com/products/product-catalog/view/360-multi-rater-feedback-system-mfs/,False,False,1,"Development & 360, Personality & Behavior"
Automata Data Science (New),https://www.shl.com/products/product-catalog/view/automata-data-science-new/,False,False,1,Simulations
Automata Data Science Pro (New),https://www.shl.com/products/product-catalog/view/automata-data-science-pro-new/,False,False,1,Simulations
Automata Front End,https://www.shl.com/products/product-catalog/view/automata-front-end/,False,False,30,Simulations
Automata Pro (New),https://www.shl.com/products/product-catalog/view/automata-pro-new/,False,False,1,Simulations
Automata Selenium,https://www.shl.com/products/product-catalog/view/automata-selenium/,False,False,1,Simulations
Automation Anywhere RPA Development (New),https://www.shl.com/products/product-catalog/view/automation-anywhere-rpa-development-new/,False,False,1,Knowledge & Skills
Automotive Engineering (New),https://www.shl.com/products/product-catalog/view/automotive-engineering-new/,False,False,1,Knowledge & Skills
Basic Biology (New),https://www.shl.com/products/product-catalog/view/basic-biology-new/,False,False,1,Knowledge & Skills
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/products/product-catalog/view/basic-computer-literacy-windows-10-new/,False,False,1,"Simulations, Knowledge & Skills"
Basic Statistics (New),https://www.shl.com/products/product-catalog/view/basic-statistics-new/,False,False,1,Knowledge & Skills
Biochemistry (New),https://www.shl.com/products/product-catalog/view/biochemistry-new/,False,False,1,Knowledge & Skills
Biotech Lab Techniques (New),https://www.shl.com/products/product-catalog/view/biotech-lab-techniques-new/,False,False,1,Knowledge & Skills
BizTalk (New),https://www.shl.com/products/product-catalog/view/biztalk-new/,False,False,1,Knowledge & Skills
Business Communication (adaptive),https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,False,False,1,Knowledge & Skills
Business Communications,https://www.shl.com/products/product-catalog/view/business-communications/,False,False,1,Knowledge & Skills
C Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new/,False,False,1,Knowledge & Skills
C# Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4039/,False,False,1,"Knowledge & Skills, Technical Skills"
C++ Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4122/,False,False,1,Knowledge & Skills
Cardiology and Diabetes Management (New),https://www.shl.com/products/product-catalog/view/cardiology-and-diabetes-management-new/,False,False,1,Knowledge & Skills
Ceramic Engineering (New),https://www.shl.com/products/product-catalog/view/ceramic-engineering-new/,False,False,1,Knowledge & Skills
Chemical Engineering (New),https://www.shl.com/products/product-catalog/view/chemical-engineering-new/,False,False,1,Knowledge & Skills
Cisco AppDynamics (New),https://www.shl.com/products/product-catalog/view/cisco-appdynamics-new/,False,False,1,Knowledge & Skills
Civil Engineering (New),https://www.shl.com/products/product-catalog/view/civil-engineering-new/,False,False,1,Knowledge & Skills
Cloud Computing (New),https://www.shl.com/products/product-catalog/view/cloud-computing-new/,False,False,1,Knowledge & Skills
Verify Interactive Process Monitoring,https://www.shl.com/products/product-catalog/view/verify-interactive-process-monitoring/,False,False,1,Ability & Aptitude
Virtual Assessment and Development Centers,https://www.shl.com/products/product-catalog/view/virtual-assessment-and-development-centers/,False,False,1,Personality & Behavior
Visual Basic for Applications (New),https://www.shl.com/products/product-catalog/view/visual-basic-for-applications-new/,False,False,1,Knowledge & Skills
Visual Comparison - UK,https://www.shl.com/products/product-catalog/view/visual-comparison-uk/,False,False,1,Knowledge & Skills
Visual Comparison - US,https://www.shl.com/products/product-catalog/view/visual-comparison-us/,False,False,1,Knowledge & Skills
VLSI and Embedded Systems (New),https://www.shl.com/products/product-catalog/view/vlsi-and-embedded-systems-new/,False,False,1,Knowledge & Skills
What Is The Value - US,https://www.shl.com/products/product-catalog/view/what-is-the-value-us/,False,False,1,Knowledge & Skills
Workplace Administration Skills (New),https://www.shl.com/products/product-catalog/view/workplace-administration-skills-new/,False,False,1,Knowledge & Skills
Workplace Health and Safety (New),https://www.shl.com/products/product-catalog/view/workplace-health-and-safety-new/,False,False,1,Knowledge & Skills
WriteX - Email Writing (Customer Service) (New),https://www.shl.com/products/product-catalog/view/writex-email-writing-customer-service-new/,False,False,1,Simulations
WriteX - Email Writing (Managerial) (New),https://www.shl.com/products/product-catalog/view/writex-email-writing-managerial-new/,False,False,1,Simulations
WriteX - Email Writing (Sales) (New),https://www.shl.com/products/product-catalog/view/writex-email-writing-sales-new/,False,False,1,"Biodata & Situational Judgement, Simulations"
Verify - G+,https://www.shl.com/products/product-catalog/view/verify-g/,False,False,1,Ability & Aptitude
Verify - General Ability Screen,https://www.shl.com/products/product-catalog/view/verify-general-ability-screen/,False,False,1,Ability & Aptitude
Verify - Inductive Reasoning (2014),https://www.shl.com/products/product-catalog/view/verify-inductive-reasoning-2014/,False,False,1,Ability & Aptitude
Verify - Numerical Ability,https://www.shl.com/products/product-catalog/view/verify-numerical-ability/,False,False,20,Ability & Aptitude
Verify - Technical Checking - Next Generation,https://www.shl.com/products/product-catalog/view/verify-technical-checking-next-generation/,False,False,1,Ability & Aptitude
Verify - Verbal Ability - Next Generation,https://www.shl.com/products/product-catalog/view/verify-verbal-ability-next-generation/,False,False,15,Ability & Aptitude
